Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Height_cm,Weight_kg,PTS,REB,AST,School
Alex Klatsky,3.0,FR,G,6-4,185,"Colts Neck, NJ",Ranney School,,193.0,83.9,0.0,0.0,0.0,florida
Jack May,20.0,FR,G,6-4,175,"Boca Raton, FL",Saint Andrew's School,,193.0,79.4,0.0,0.3,0.0,florida
Andrew Jones,1.0,SR,G,6-4,192,"Irving, TX",MacArthur High School,23 (2016),193.0,87.1,14.6,4.5,2.3,texas
Matt Coleman,2.0,SR,G,6-2,180,"Norfolk, VA",Oak Hill Academy,47 (2017),188.0,81.6,13.2,3.5,4.0,texas
Courtney Ramey,3.0,JR,G,6-3,185,"St. Louis, MO",Webster Groves HS,41 (2018),190.5,83.9,12.2,3.2,3.9,texas
Greg Brown,4.0,FR,F,6-9,205,"Austin, TX",Vandegrift HS,8 (2020),205.7,93.0,9.3,6.2,0.4,texas
Jericho Sims,20.0,SR,F,6-10,245,"Minneapolis, MN",Cristo Rey Jesuit High School,51 (2017),208.3,111.1,9.2,7.2,0.7,texas
Kai Jones,22.0,SO,F,6-11,218,"Nassau, Bahamas",Brewster Academy,50 (2019),210.8,98.9,8.8,4.8,0.6,texas
Jase Febres,13.0,SR,G,6-5,195,"Houston, TX",Westfield High School,78 (2017),195.6,88.5,5.2,1.5,0.8,texas
Donovan Williams,3.0,SO,G,6-6,190,"Houston, TX",Fort Bend Elkins HS,66 (2019),198.1,86.2,3.3,1.1,0.3,texas
Royce Hamm,14.0,SR,F,6-9,225,"Houston, TX",Aldine Nimitz High School,,205.7,102.1,1.9,2.5,0.1,texas
Brock Cunningham,30.0,SO,F,6-5,204,"Austin, TX",Westlake HS,,195.6,92.5,1.6,3.1,0.8,texas
Kamaka Hepa,44.0,JR,F,6-9,220,"Utqiagvik, AK",Jefferson HS,55 (2018),205.7,99.8,2.9,1.0,0.1,texas
Gerald Liddell,35.0,JR,F,6-8,205,"Cibolo, TX",Steele HS,44 (2018),203.2,93.0,2.1,1.7,0.4,texas
Blake Nevins,34.0,SO,G,6-5,205,"Cypress, TX",Cypress Ranch HS,,195.6,93.0,1.0,0.0,0.0,texas
Andrew Deutser,43.0,,G,6-1,185,"Houston, TX",Kincaid HS,,185.4,83.9,0.0,0.0,0.0,texas
Drayton Whiteside,14.0,SR,G,6-0,160,"Austin, TX",Vandegrift HS,,182.9,72.6,0.0,0.5,0.0,texas
Matthew Hurt,21.0,SO,F,6-9,235,"Rochester, MN",John Marshall (MN),12 (2019),205.7,106.6,18.3,6.2,1.4,duke
DJ Steward,2.0,FR,G,6-2,163,"Chicago, IL",Whitney Young HS,24 (2020),188.0,73.9,13.0,3.9,2.4,duke
Wendell Moore,0.0,SO,F,6-5,216,"Charlotte, NC",Cox Mill (NC),25 (2019),195.6,98.0,9.7,4.8,2.7,duke
Jeremy Roach,3.0,FR,G,6-1,175,"Leesburg, VA",Paul VI HS,20 (2020),185.4,79.4,8.7,2.2,2.8,duke
Mark Williams,15.0,FR,C,7-0,243,"Virginia Beach, VA",IMG Academy,25 (2020),213.4,110.2,7.1,4.5,0.7,duke
Jalen Johnson,1.0,FR,F,6-9,220,"Milwaukee, WI",Nicolet HS,11 (2020),205.7,99.8,11.2,6.1,2.2,duke
Jordan Goldwire,0.0,SR,G,6-2,184,"Norcross, GA",Norcross High School,,188.0,83.5,5.8,2.9,4.0,duke
Jaemyn Brakefield,5.0,FR,F,6-8,216,"Jackson, MS",Huntington Prep School,33 (2020),203.2,98.0,3.5,2.5,0.5,duke
Joey Baker,13.0,JR,F,6-6,201,"Fayetteville, NC",Trinity Christian School,37 (2018),198.1,91.2,2.9,1.2,0.4,duke
Henry Coleman,15.0,FR,F,6-7,229,"Richmond, VA",Trinity Episcopal (VA),49 (2020),200.7,103.9,1.1,1.4,0.2,duke
Patrick Tape,,SR,F,6-9,233,"Charlotte, NC",Queens Grant High School,,205.7,105.7,1.1,1.1,0.3,duke
Keenan Worthington,45.0,SO,F,6-9,225,"Chapel Hill, NC",Blair Academy,,205.7,102.1,1.5,1.0,0.0,duke
Mike Buckmire,51.0,SR,G,6-2,175,"Blue Bell, PA",Germantown Friends School,,188.0,79.4,0.5,0.3,0.0,duke
Michael Savarino,30.0,SO,G,6-0,185,"Durham, NC",Durham Academy,,182.9,83.9,0.5,0.5,0.5,duke
Jaden Springer,11.0,FR,G,6-4,204,"Charlotte, NC",IMG Academy,13 (2020),193.0,92.5,12.5,3.5,2.9,tennessee
Keon Johnson,45.0,FR,G,6-5,186,"Shelbyville, TN",The Webb School,23 (2020),195.6,84.4,11.3,3.5,2.5,tennessee
Victor Bailey,12.0,JR,G,6-4,179,"Austin, TX",McNeil High School,,193.0,81.2,10.9,2.0,1.6,tennessee
John Fulkerson,10.0,SR,F,6-9,215,"Kingsport, TN",Briarcrest Christian School,,205.7,97.5,9.5,5.5,1.7,tennessee
Santiago Vescovi,25.0,SO,G,6-3,188,"Montevideo, Uruguay",NBA Global Academy,,190.5,85.3,8.7,3.7,3.1,tennessee
Yves Pons,35.0,SR,F,6-6,215,"Fuveau, France",INSEP Academy,,198.1,97.5,8.7,5.3,0.7,tennessee
Josiah-Jordan James,30.0,SO,G,6-6,207,"Charleston, SC",Porter-Gaud School,20 (2019),198.1,93.9,8.0,6.5,2.0,tennessee
Olivier Nkamhoua,13.0,SO,F,6-8,223,"Helsinki, Finland",Bishop Walsh School,,203.2,101.2,2.3,1.3,0.2,tennessee
E.J. Anosike,24.0,SR,F,6-7,245,"East Orange, NJ",Paramus Catholic High School,,200.7,111.1,1.7,1.9,0.3,tennessee
Uros Plavsic,33.0,SO,C,7-0,262,"Ivanjica, Serbia",Hamilton Heights Christian Academy,,213.4,118.8,1.1,1.1,0.3,tennessee
Davonte Gaines,3.0,SO,G,6-7,181,"Buffalo, NY",Hargrave Military Academy,,200.7,82.1,0.7,0.7,0.1,tennessee
Drew Pember,55.0,SO,F,6-10,190,"Knoxville, TN",Bearden HS,,208.3,86.2,0.2,0.3,0.4,tennessee
Kent Gilbert,21.0,FR,G,6-1,164,"Greenville, NC",D.H. Conley HS,,185.4,74.4,0.0,0.0,0.0,tennessee
Brock Jancek,35.0,JR,F,6-8,222,"Knoxville, TN",Knoxville Catholic HS,,203.2,100.7,0.0,0.0,0.0,tennessee
Davion Mintz,10.0,SR,G,6-3,196,"Charlotte, NC",North Mecklenburg High School,,190.5,88.9,11.5,3.2,3.1,kentucky
Brandon Boston,3.0,FR,G,6-7,185,"Norcross, GA",Sierra Canyon HS,4 (2020),200.7,83.9,11.5,4.5,1.6,kentucky
Olivier Sarr,30.0,SR,C,7-0,237,"Toulouse, France",INSEP,,213.4,107.5,10.8,5.2,1.3,kentucky
Isaiah Jackson,23.0,FR,F,6-10,206,"Pontiac, MI",Waterford Mott HS,26 (2020),208.3,93.4,8.4,6.6,0.7,kentucky
Keion Brooks,12.0,SO,F,6-7,205,"Fort Wayne, IN",La Lumiere School,24 (2019),200.7,93.0,10.3,6.8,1.6,kentucky
Devin Askew,5.0,FR,G,6-3,198,"Sacramento, CA",Mater Dei HS,28 (2020),190.5,89.8,6.5,2.6,2.9,kentucky
Jacob Toppin,0.0,SO,F,6-9,194,"Ossining, NY",Woodstock Academy,,205.7,88.0,5.2,3.5,0.7,kentucky
Dontaie Allen,11.0,FR,G,6-6,198,"Falmouth, KY",Pendleton County HS,92 (2019),198.1,89.8,5.4,1.6,0.3,kentucky
Terrence Clarke,5.0,FR,G,6-7,194,"Boston, MA",Brewster Academy,8 (2020),200.7,88.0,9.6,2.6,2.0,kentucky
Lance Ware,55.0,FR,F,6-9,223,"Camden, NJ",Camden HS,39 (2020),205.7,101.2,2.0,3.0,0.3,kentucky
Cam'Ron Fletcher,21.0,FR,F,6-6,215,"St Louis, MO",Vashion HS,52 (2020),198.1,97.5,1.7,1.7,0.3,kentucky
Zan Payne,20.0,SO,G,6-4,215,"Lexington, KY",Lexington Catholic HS,,193.0,97.5,1.0,1.0,0.0,kentucky
Brennan Canada,14.0,SO,F,6-6,198,"Mount Sterling, KY",George Rogers Clark HS,,198.1,89.8,0.0,0.0,0.0,kentucky
Kareem Watkins,25.0,FR,G,5-8,145,"Camden, NJ",Kingsway (NJ),,172.7,65.8,0.0,0.0,0.0,kentucky
Riley Welch,13.0,SR,G,6-0,185,"Los Angeles, CA",Chatfield Senior High School,,182.9,83.9,0.0,0.3,0.0,kentucky
Remy Martin,11.0,SR,G,6-0,175,"Chatsworth, CA",Sierra Canyon School,,182.9,79.4,19.1,2.8,3.7,arizona-state
Alonzo Verge,1.0,SR,G,6-2,170,"Chicago, IL",Thornton Township (IL),,188.0,77.1,14.0,3.9,3.8,arizona-state
Josh Christopher,13.0,FR,G,6-5,215,"Carson, CA",Mayfair HS,10 (2020),195.6,97.5,14.3,4.7,1.4,arizona-state
Kimani Lawrence,4.0,SR,F,6-8,210,"Providence, RI",New Hampton School,55 (2017),203.2,95.3,8.1,5.0,0.9,arizona-state
Jalen Graham,2.0,SO,F,6-9,220,"Phoenix, AZ",Mountain Pointe (AZ),,205.7,99.8,8.1,5.0,0.4,arizona-state
Holland Woods,0.0,SR,G,6-1,180,"Phoenix, AZ",Apollo High School,,185.4,81.6,6.7,2.2,1.9,arizona-state
Marcus Bagley,23.0,FR,F,6-8,215,"Sacramento, CA",Sheldon HS,31 (2020),203.2,97.5,10.8,6.2,1.2,arizona-state
Jaelen House,10.0,SO,G,6-1,160,"Phoenix, AZ",Shadow Mountain (AZ),,185.4,72.6,5.3,2.0,1.5,arizona-state
Chris Osten,5.0,JR,F,6-9,210,"Baytown, TX",Crowley (LA),,205.7,95.3,2.7,2.3,0.2,arizona-state
Taeshon Cherry,35.0,JR,F,6-8,220,"El Cajon, CA",San Diego Charter School,36 (2018),203.2,99.8,3.9,2.3,0.3,arizona-state
Caleb Christopher,31.0,SO,G,6-1,180,"Los Angeles, CA",Hillcrest Prep (AZ),,185.4,81.6,1.1,0.4,0.4,arizona-state
John Olmsted,15.0,SO,F,6-10,235,"Morenci, AZ",Morenci (AZ),,208.3,106.6,0.5,1.3,0.2,arizona-state
Pavlo Dziuba,12.0,FR,F,6-8,225,"Kirichkova, Ukraine",Basquet HS,,203.2,102.1,0.4,0.3,0.0,arizona-state
Kyle Feit,30.0,JR,G,6-4,215,"West Palm Beach, FL",IMG Academy,,193.0,97.5,0.8,0.3,0.0,arizona-state
Imran Takhar,41.0,SR,G,6-3,195,"Orange, CA",Villa Park HS,,190.5,88.5,0.6,0.0,0.0,arizona-state
Micah Burno,12.0,SO,G,6-0,180,"Scottsdale, AZ",Chaparral (AZ),,182.9,81.6,0.0,0.0,0.0,arizona-state
Cade Ronzone,20.0,FR,G,6-2,180,"Oakland, CA",Bishop O'Dowd HS,,188.0,81.6,0.0,0.0,0.0,arizona-state
Quentin Grimes,24.0,JR,G,6-5,205,"The Woodlands, TX",College Park HS,8 (2018),195.6,93.0,17.8,5.7,2.0,houston
Marcus Sasser,0.0,SO,G,6-1,190,"Red Oak, TX",Red Oak HS,,185.4,86.2,13.7,2.6,2.2,houston
Dejon Jarreau,3.0,SR,G,6-5,185,"New Orleans, LA",McDonogh No. 35 High School,55 (2016),195.6,83.9,10.6,5.4,4.3,houston
Justin Gorham,4.0,SR,F,6-7,225,"Baltimore, MD",Calvert Hall College High School,,200.7,102.1,8.4,8.6,1.2,houston
Tramon Mark,12.0,FR,G,6-5,180,"Dickinson, TX",Dickinson HS,75 (2020),195.6,81.6,7.8,3.0,1.7,houston
Reggie Chaney,32.0,JR,F,6-8,225,"Tulsa, OK",Findlay Prep,,203.2,102.1,4.7,2.8,0.5,houston
Cameron Tyson,5.0,SO,G,6-2,190,"Bothell, WA",Bothell HS,,188.0,86.2,6.2,0.9,0.4,houston
Brison Gresham,44.0,SR,F,6-8,230,"New Orleans, LA",McDonogh No. 35 High School,,203.2,104.3,3.0,3.0,0.3,houston
Jamal Shead,1.0,FR,G,6-1,190,"Manor, TX",Manor HS,,185.4,86.2,3.3,1.1,1.5,houston
Fabian White,35.0,SR,F,6-8,225,"Atascocita, TX",Atascocita High School,,203.2,102.1,6.2,4.1,0.8,houston
J'Wan Roberts,13.0,FR,F,6-7,220,"St. Thomas, U.S. Virgin Islands",Shoemaker (TX),,200.7,99.8,1.9,3.8,0.3,houston
Caleb Mills,4.0,SO,G,6-3,180,"Arden, NC",T.C. Roberson HS,,190.5,81.6,9.8,1.3,0.3,houston
Kiyron Powell,52.0,FR,C,6-8,205,"Evansville, IN",Benjamin Bosse HS,,203.2,93.0,2.3,2.1,0.1,houston
Ryan Elvin,20.0,FR,G,6-0,155,"Round Rock, TX",Cedar Ridge HS,,182.9,70.3,1.9,0.4,0.3,houston
Caleb Broodo,30.0,JR,C,6-8,240,"Midland, MI",Dow HS,,203.2,108.9,1.0,1.0,0.3,houston
Nah'Shon Hyland,5.0,SO,G,6-3,165,"Wilmington, DE",St. Georges Tech (DE),89 (2019),190.5,74.8,19.5,4.7,2.1,virginia-commonwealth
Vince Williams,10.0,JR,G,6-6,210,"Toledo, OH",St. John's Jesuit HS,,198.1,95.3,10.6,5.2,2.2,virginia-commonwealth
Jamir Watkins,0.0,FR,F,6-7,210,"Trenton, NJ",Trenton Catholic HS,,200.7,95.3,7.2,2.6,0.7,virginia-commonwealth
Ace Baldwin,1.0,FR,G,6-0,190,"Baltimore, MD",St. Frances Academy,,182.9,86.2,6.7,3.2,4.4,virginia-commonwealth
Hason Ward,20.0,SO,F,6-9,200,"St. Thomas, Barbados",Springfield Central HS,,205.7,90.7,6.4,5.1,1.0,virginia-commonwealth
Levi Stockard,34.0,SR,F,6-8,240,"St. Louis, MO",Vashon High School,,203.2,108.9,6.5,2.3,0.5,virginia-commonwealth
Corey Douglas,4.0,SR,F,6-8,220,"Louisville, KY",Fork Union Military Academy,,203.2,99.8,4.5,3.4,0.6,virginia-commonwealth
Jimmy Clark,12.0,SO,G,6-3,175,"Covington, GA",Newton HS,,190.5,79.4,5.9,1.4,1.8,virginia-commonwealth
KeShawn Curry,11.0,JR,G,6-4,185,"Jacksonville, FL",Fork Union Military Academy,,193.0,83.9,5.8,2.3,0.6,virginia-commonwealth
Josh Banks,33.0,FR,G,6-5,185,"Charlotte, NC",Olympic HS,,195.6,83.9,3.1,0.9,0.3,virginia-commonwealth
Mikeal Brown-Jones,2.0,FR,F,6-8,210,"Philadelphia, PA",IMG Academy,,203.2,95.3,2.3,2.1,0.4,virginia-commonwealth
Brendan Medley-Bacon,35.0,JR,C,7-0,245,"Baltimore, MD",Archbishop Curley HS,,213.4,111.1,0.5,0.7,0.1,virginia-commonwealth
Arnold Henderson,15.0,SO,G,5-10,175,"Mechanicsville, VA",St. Christopher's School,,177.8,79.4,0.0,0.4,0.0,virginia-commonwealth
Cameron Thomas,24.0,FR,G,6-4,210,"Chesapeake, VA",Oak Hill Academy,22 (2020),193.0,95.3,23.0,3.4,1.4,louisiana-state
Trendon Watford,2.0,SO,F,6-9,240,"Birmingham, AL",Mountain Brook HS,17 (2019),205.7,108.9,16.3,7.4,2.9,louisiana-state
Javonte Smart,1.0,JR,G,6-4,205,"Baton Rouge, LA",Scotlandville Magnet HS,33 (2018),193.0,93.0,16.0,3.7,4.0,louisiana-state
Darius Days,4.0,JR,F,6-7,245,"Raleigh, FL",IMG Academy,59 (2018),200.7,111.1,11.6,7.8,0.6,louisiana-state
Aundre Hyatt,5.0,JR,F,6-6,225,"Bronx, NY",Miller School,,198.1,102.1,4.2,3.1,0.5,louisiana-state
Mwani Wilkinson,5.0,FR,F,6-5,215,"Las Vegas, NV",Bishop Gorman HS,68 (2020),195.6,97.5,3.6,2.7,0.6,louisiana-state
Josh LeBlanc,23.0,JR,F,6-7,230,"Baton Rouge, LA",Madison Prep Academy,,200.7,104.3,3.2,4.4,0.6,louisiana-state
Eric Gaines,2.0,FR,G,6-2,155,"Lithonia, GA",Lithonia HS,,188.0,70.3,2.5,1.4,1.2,louisiana-state
Jalen Cook,3.0,FR,G,6-0,205,"Walker, LA",Walker HS,,182.9,93.0,3.1,0.8,0.8,louisiana-state
Shareef O'Neal,24.0,SO,F,6-10,225,"Los Angeles, CA",Crossroads School,38 (2018),208.3,102.1,2.8,4.4,0.0,louisiana-state
Charles Manning,21.0,SR,G,6-5,205,"Riverhead, NY",Combine Academy,,195.6,93.0,4.2,3.0,0.8,louisiana-state
Josh Gray,33.0,FR,C,6-11,255,"Brooklyn, NY",Putnam Science Academy,,210.8,115.7,0.8,1.2,0.0,louisiana-state
Bryan Penn-Johnson,22.0,JR,C,7-0,260,"Long Beach, CA",Wasatch Academy,,213.4,117.9,0.4,0.6,0.2,louisiana-state
Parker Edwards,30.0,SO,G,6-2,185,"Mandeville, LA",St. Paul's HS,,188.0,83.9,0.0,0.8,0.0,louisiana-state
Brandon Egemo,10.0,FR,G,6-0,175,"Los Angeles, CA",University HS,,182.9,79.4,0.0,0.0,0.0,louisiana-state
Armando Bacot,5.0,SO,F,6-10,240,"Richmond, VA",IMG Academy,23 (2019),208.3,108.9,12.3,7.8,0.8,north-carolina
Caleb Love,2.0,FR,G,6-4,195,"St. Louis, MO",Christian Brothers (MO),13 (2020),193.0,88.5,10.5,2.6,3.6,north-carolina
Garrison Brooks,15.0,SR,F,6-10,240,"Lafayette, AL",Auburn HS,,208.3,108.9,10.1,6.9,1.4,north-carolina
Day'Ron Sharpe,11.0,FR,F,6-11,265,"Greenville, NC",Monteverde Academy,12 (2020),210.8,120.2,9.5,7.6,1.4,north-carolina
RJ Davis,4.0,FR,G,6-0,160,"White Plains, NY",Archbishop Stepinac HS,43 (2020),182.9,72.6,8.4,2.3,1.9,north-carolina
Kerwin Walton,24.0,FR,G,6-5,205,"Hopkins, MN",Hopkins HS,,195.6,93.0,8.2,1.7,1.8,north-carolina
Leaky Black,1.0,JR,G,6-8,195,"Concord, NC",Cox Mill HS,64 (2018),203.2,88.5,5.6,4.9,2.4,north-carolina
Walker Kessler,13.0,FR,F,7-1,245,"Newnan, GA",Woodward Academy,18 (2020),215.9,111.1,4.4,3.2,0.3,north-carolina
Andrew Platek,3.0,SR,G,6-4,205,"Guilderland, NY",Northfield Mount Hermon School,,193.0,93.0,3.7,1.7,0.9,north-carolina
Anthony Harris,0.0,SO,G,6-4,196,"Woodbridge, VA",Paul VI (VA),70 (2019),193.0,88.9,3.2,1.0,1.3,north-carolina
Puff Johnson,14.0,FR,G,6-8,190,"Moon Township, PA",Hillcrest Prep HS,59 (2020),203.2,86.2,1.1,0.5,0.1,north-carolina
Creighton Lebo,25.0,FR,G,6-1,160,"Wilson, NC",Greenfield School,,185.4,72.6,0.9,0.3,0.0,north-carolina
Walker Miller,4.0,SR,F,6-11,235,"Greensboro, NC",New Hampton School,,210.8,106.6,0.6,0.4,0.0,north-carolina
K.J. Smith,30.0,SR,G,6-2,170,"Calabasas, CA",IMG Academy,,188.0,77.1,0.3,0.6,0.0,north-carolina
Sterling Manley,21.0,JR,F,6-11,250,"Pickerington, OH",Pickerington Central,,210.8,113.4,0.7,0.3,0.0,north-carolina
Duwe Farris,34.0,SO,F,6-6,205,"Charlotte, NC",Myers Park HS,,198.1,93.0,0.0,0.3,0.0,north-carolina
Ryan McAdoo,35.0,SR,F,6-5,200,"Boca Raton, FL",Saint Andrew's School,,195.6,90.7,0.0,0.1,0.1,north-carolina
Santi Aldama,34.0,SO,F,6-11,215,"Las Palmas, Spain",Canterbury Academy,,210.8,97.5,21.2,10.1,2.3,loyola-md
Jaylin Andrews,2.0,JR,G,6-4,179,"Owings Mills, MD",Boys' Latin School of Maryland,,193.0,81.2,11.6,4.9,2.2,loyola-md
Golden Dike,10.0,SO,F,6-10,250,"Malaga, Spain",Colegio Sek el Castillo International School,,208.3,113.4,7.1,6.2,2.2,loyola-md
Isaiah Hart,4.0,SR,G,5-11,185,"Morrow, GA",Whitefield Academy,,180.3,83.9,8.6,1.3,1.5,loyola-md
Alonso Faure,4.0,FR,F,6-10,225,"Busot, Spain",IES Fuente San Luis HS,,208.3,102.1,5.2,3.6,0.8,loyola-md
Luke Johnson,3.0,SR,G,6-3,180,"Lexington, KY",Lexington Catholic High School,,190.5,81.6,4.9,2.4,0.8,loyola-md
Kenny Jones,25.0,JR,G,6-0,177,"Hillside, NJ",Mater Dei HS,,182.9,80.3,5.2,1.6,1.9,loyola-md
Brandon Bradsher,11.0,SR,G,5-10,178,"Ellicott City, MD",Boys' Latin School of Maryland,,177.8,80.7,7.3,1.3,0.8,loyola-md
Cam Spencer,12.0,SO,G,6-4,205,"Davidsonville, MD",Boys' Latin School of Maryland,,193.0,93.0,10.2,4.4,3.0,loyola-md
Brent Holcombe,23.0,SR,F,6-8,204,"Miami, FL",Coral Reef Senior High School,,203.2,92.5,2.5,1.3,0.4,loyola-md
Wade Jackson,3.0,FR,G,6-3,185,"Columbia, MD",St. Vincent Palotti HS,,190.5,83.9,2.4,1.4,0.4,loyola-md
Casmir Ochiaka,22.0,SO,G,6-8,235,"Enugu, Nigeria",St. Mary of the Assumption (NJ),,203.2,106.6,2.0,2.0,0.0,loyola-md
Garren Davis,5.0,SO,G,6-4,200,"Dallas, TX",The Colony HS,,193.0,90.7,1.0,3.0,0.5,loyola-md
Ethan Norton,21.0,SR,G,6-4,162,"Collegeville, PA",The Hill School,,193.0,73.5,0.5,0.3,0.0,loyola-md
Markese Redding,13.0,JR,F,6-6,200,"Brooklyn, NY",LREI HS,,198.1,90.7,0.7,0.7,0.3,loyola-md
Daraun Gray,24.0,SO,G,5-11,162,"Clarksburg, MD",Landon School,,180.3,73.5,0.0,0.0,0.0,loyola-md
Jeremiah Robinson-Earl,24.0,SO,F,6-9,230,"Overland Park, KS",Bishop Miege (KS),15 (2019),205.7,104.3,15.7,8.5,2.2,villanova
Justin Moore,5.0,SO,G,6-4,210,"Fort Washington, MD",Dematha HS,,193.0,95.3,12.9,4.1,3.0,villanova
Jermaine Samuels,23.0,SR,F,6-7,230,"Franklin, MA",Rivers School,45 (2017),200.7,104.3,12.0,6.4,2.5,villanova
Collin Gillespie,2.0,SR,G,6-3,190,"Warminster, PA",Archbishop Wood High School,,190.5,86.2,14.0,3.3,4.6,villanova
Caleb Daniels,14.0,JR,G,6-4,210,"New Orleans, LA",St. Augustine High School,,193.0,95.3,9.6,2.2,1.2,villanova
Cole Swider,21.0,JR,F,6-9,225,"Providence, RI",St. Andrews HS,39 (2018),205.7,102.1,5.7,2.8,1.1,villanova
Brandon Slater,3.0,JR,F,6-6,211,"Centreville, VA",Paul VI HS,52 (2018),198.1,95.7,3.8,2.2,0.5,villanova
Eric Dixon,43.0,FR,F,6-8,260,"Willow Grove, PA",Abington HS,67 (2019),203.2,117.9,3.0,1.6,0.3,villanova
Bryan Antoine,1.0,SO,G,6-5,180,"Tinton Falls, NJ",Ranney School,16 (2019),195.6,81.6,2.3,1.2,0.7,villanova
Chris Arcidiacono,4.0,SO,G,6-5,196,"Langhorne, PA",Perkiomen School,,195.6,88.9,0.9,1.0,0.6,villanova
Trey Patterson,13.0,,F,6-8,210,"Somerset, NJ",Rutgers Prep HS,,203.2,95.3,0.0,0.0,0.5,villanova
Dwight Wilson,4.0,SR,F,6-8,250,"Tallahassee, FL",Lincoln High School,,203.2,113.4,14.5,7.5,0.7,ohio
Ben Vander Plas,5.0,JR,F,6-8,232,"Ripon, WI",Ripon HS,,203.2,105.2,12.8,5.8,3.8,ohio
Jason Preston,0.0,JR,G,6-4,187,"Orlando, FL",Believe Sports Academy,,193.0,84.8,15.7,7.3,7.3,ohio
Ben Roderick,3.0,SO,F,6-5,205,"Powell, OH",Olentangy Liberty (OH),,195.6,93.0,12.4,3.0,0.8,ohio
Lunden McDay,15.0,SO,G,6-3,185,"Akron, OH",St. Vincent-St. Mary's HS,,190.5,83.9,10.2,2.3,1.3,ohio
Mark Sears,1.0,FR,G,6-1,185,"Muscle Shoals, AL",Hargrave Military Academy,,185.4,83.9,8.5,2.8,3.4,ohio
Miles Brown,2.0,SO,G,6-1,180,"Rochester, NY",Northstar Christian Academy,,185.4,81.6,4.6,1.5,1.2,ohio
Rifen Miguel,22.0,JR,F,6-8,240,,West Oaks Academy,,203.2,108.9,2.9,1.6,0.0,ohio
Jalen White,21.0,FR,G,6-5,180,"Pasadena, TX",Sam Rayburn HS,,195.6,81.6,2.7,1.0,0.3,ohio
Colin Granger,32.0,FR,F,6-9,230,"Suwanee, GA",Lambert HS,,205.7,104.3,1.3,1.2,0.1,ohio
Sam Towns,11.0,FR,F,6-9,185,"Columbus, OH",Pickerington Central HS,,205.7,83.9,1.4,1.3,0.4,ohio
Mason McMurray,24.0,SO,F,6-7,220,"Stow, OH",Stow-Munroe Falls HS,,200.7,99.8,0.9,1.1,0.4,ohio
Nolan Foster,22.0,SO,C,6-10,222,"Mattawan, MI",Mattawan (MI),,208.3,100.7,0.3,0.5,0.0,ohio
John Tenerowicz,12.0,JR,G,6-1,185,"Cleveland, OH",St. Ignatius HS,,185.4,83.9,0.4,0.2,0.2,ohio
Michael Brown,14.0,SO,G,5-10,156,"Rochester, NY",Northstar Christian Academy,,177.8,70.8,0.2,0.0,0.0,ohio
Miles McBride,4.0,SO,G,6-2,200,"Cincinnati, OH",Archbishop Moeller HS,,188.0,90.7,15.9,3.9,4.8,west-virginia
Derek Culver,1.0,JR,F,6-10,255,"Youngstown, OH",Warren G. Harding (OH); Brewster Academy (NH),"79 (2017), 85 (2018)",208.3,115.7,14.3,9.4,1.1,west-virginia
Taz Sherman,12.0,SR,G,6-4,190,"Missouri City, TX",Fort Bend Thurgood Marshall HS,,193.0,86.2,13.4,1.8,1.4,west-virginia
Sean McNeil,22.0,JR,G,6-3,210,"Union, KY",Cooper HS,,190.5,95.3,12.2,2.2,0.8,west-virginia
Emmitt Matthews,0.0,JR,F,6-7,215,"Tacoma, WA",Woodrow Wilson HS,,200.7,97.5,7.7,4.0,1.1,west-virginia
Jalen Bridges,11.0,FR,F,6-7,220,"Fairmont, WV",Fairmont Senior HS,,200.7,99.8,5.9,3.6,0.3,west-virginia
Oscar Tshiebwe,34.0,SO,F,6-9,260,"Lubumbashi, Democratic Republic of the Congo",Kennedy Catholic HS,28 (2019),205.7,117.9,8.5,7.8,0.7,west-virginia
Jordan McCabe,5.0,JR,G,6-0,188,"Kaukauna, WI",Kaukauna HS,,182.9,85.3,2.2,1.1,1.4,west-virginia
Gabe Osabuohien,3.0,SR,F,6-7,235,"Toronto, Canada",Southwest Christian Academy,,200.7,106.6,1.7,4.4,2.1,west-virginia
Kedrian Johnson,0.0,JR,G,6-3,180,"Dallas, TX",South Oak Cliff (TX),,190.5,81.6,1.3,0.8,0.6,west-virginia
Isaiah Cottrell,13.0,FR,F,6-10,240,"Las Vegas, NV",Bishop Gorman HS,72 (2020),208.3,108.9,1.6,1.4,0.4,west-virginia
Taj Thweatt,24.0,FR,F,6-7,210,"Wildwood, NJ",Wildwood Catholic HS,,200.7,95.3,0.4,0.8,0.2,west-virginia
Jay Moore,20.0,FR,G,6-3,190,,Beckley Prep HS,,190.5,86.2,0.7,0.3,0.0,west-virginia
Seny N'diaye,23.0,FR,F,6-10,235,"Dakar, Senegal",Huntington Prep,,208.3,106.6,0.1,0.4,0.1,west-virginia
Spencer Macke,30.0,SO,G,5-11,175,"Fort Thomas, KY",Silver Grove HS,,180.3,79.4,0.0,0.0,0.0,west-virginia
Allen Flanigan,22.0,SO,G,6-6,215,"Little Rock, AR",Parkview Magnet High (AR),,198.1,97.5,14.3,5.5,2.9,auburn
Jaylin Williams,2.0,SO,F,6-8,230,"Nahunta, GA",Brantley County (GA),79 (2020),203.2,104.3,10.9,4.7,2.0,auburn
